epoch,loss,val_loss
0,3.0951030254364014,1.9619100093841553
1,2.0533602237701416,1.8944594860076904
2,2.005373954772949,1.870887041091919
3,1.9973222017288208,1.8627159595489502
4,1.992702841758728,1.8793119192123413
5,1.999940276145935,1.8714579343795776
6,1.9939407110214233,1.8584561347961426
7,2.017125129699707,1.8876259326934814
8,2.0037920475006104,1.874104380607605
9,2.0014352798461914,1.883937954902649
10,2.001734495162964,1.8670172691345215
11,1.9877021312713623,1.850817084312439
12,1.975401520729065,1.7838764190673828
13,1.6478391885757446,1.458454966545105
14,1.5628786087036133,1.442162275314331
15,1.5429366827011108,1.4406416416168213
16,1.5297073125839233,1.4384925365447998
17,1.5152438879013062,1.4330124855041504
18,1.5020567178726196,1.4309626817703247
19,1.4911587238311768,1.4308520555496216
20,1.4823651313781738,1.4301295280456543
21,1.4722790718078613,1.4308123588562012
22,1.4611964225769043,1.4339299201965332
23,1.4523844718933105,1.4338375329971313
24,1.4420450925827026,1.435123085975647
25,1.4284864664077759,1.4378900527954102
