epoch,loss,val_loss
0,3.1397364139556885,1.947829246520996
1,2.0497167110443115,1.8999578952789307
2,2.017054796218872,1.8848832845687866
3,2.00669527053833,1.8819010257720947
4,2.0009729862213135,1.8702948093414307
5,1.968839406967163,1.7733404636383057
6,1.6764246225357056,1.4810479879379272
7,1.593269944190979,1.4702359437942505
8,1.5758775472640991,1.4707046747207642
9,1.5622042417526245,1.4654206037521362
10,1.5510003566741943,1.461348295211792
11,1.5387368202209473,1.4595266580581665
12,1.5271819829940796,1.4544228315353394
13,1.5130325555801392,1.4512866735458374
14,1.50133216381073,1.451520323753357
15,1.491836428642273,1.4530000686645508
16,1.4833283424377441,1.4498671293258667
17,1.4738043546676636,1.4548383951187134
18,1.4664865732192993,1.446907877922058
19,1.4592126607894897,1.436399221420288
20,1.4523663520812988,1.4446064233779907
21,1.4482996463775635,1.449338436126709
22,1.4430303573608398,1.4450418949127197
23,1.4236235618591309,1.4499173164367676
24,1.4088616371154785,1.4528528451919556
25,1.396010160446167,1.4599262475967407
26,1.3846534490585327,1.4627078771591187
27,1.3748008012771606,1.467851996421814
28,1.3666152954101562,1.46129310131073
29,1.357847809791565,1.480992317199707
30,1.3501348495483398,1.5135605335235596
31,1.3412784337997437,1.4908359050750732
32,1.334183692932129,1.481789469718933
33,1.334291696548462,1.4839134216308594
34,1.3365652561187744,1.4825268983840942
35,1.3257375955581665,1.5100737810134888
36,1.3217180967330933,1.5083270072937012
37,1.3180513381958008,1.5019389390945435
38,1.3044346570968628,1.4796139001846313
39,1.2851558923721313,1.4705417156219482
40,1.265256404876709,1.477077841758728
41,1.2486324310302734,1.4907212257385254
42,1.2332898378372192,1.500430703163147
43,1.2213973999023438,1.5063307285308838
44,1.2109272480010986,1.5140124559402466
45,1.2028263807296753,1.532296061515808
46,1.1977131366729736,1.540481686592102
47,1.1994692087173462,1.5447088479995728
48,1.1971756219863892,1.5494863986968994
49,1.194456934928894,1.5933212041854858
50,1.1932786703109741,1.6194607019424438
51,1.195708155632019,1.5614385604858398
52,1.1922171115875244,1.5411688089370728
53,1.174133062362671,1.5412614345550537
54,1.1524176597595215,1.5448832511901855
55,1.1338838338851929,1.5573052167892456
56,1.119895100593567,1.580359697341919
57,1.1109161376953125,1.5897055864334106
58,1.1034096479415894,1.6018611192703247
59,1.0955873727798462,1.607324481010437
60,1.0873736143112183,1.6159666776657104
61,1.084611177444458,1.6098759174346924
62,1.081212043762207,1.627189040184021
63,1.074590802192688,1.6520310640335083
64,1.0699456930160522,1.629813313484192
65,1.0617961883544922,1.6467883586883545
66,1.0529953241348267,1.680775761604309
67,1.0446889400482178,1.6561535596847534
68,1.0404080152511597,1.6408250331878662
69,1.037631630897522,1.6509194374084473
70,1.030510663986206,1.661208987236023
71,1.0241317749023438,1.6694111824035645
72,1.0150511264801025,1.6878535747528076
73,1.0069581270217896,1.7122113704681396
74,1.0001983642578125,1.7181214094161987
75,0.995203971862793,1.71499764919281
76,0.9880021214485168,1.7052192687988281
77,0.9794996976852417,1.7023661136627197
78,0.971733808517456,1.7022422552108765
79,0.9698002934455872,1.728761911392212
80,0.964230477809906,1.7406232357025146
81,0.9633005857467651,1.7582719326019287
82,0.9607694149017334,1.7471061944961548
83,0.9531286358833313,1.757204294204712
84,0.9425860643386841,1.7671236991882324
85,0.9369268417358398,1.7677425146102905
86,0.9333093166351318,1.779255986213684
87,0.9308838248252869,1.7900620698928833
88,0.9259752631187439,1.7975971698760986
89,0.9202674031257629,1.8133885860443115
90,1.031967282295227,1.7034950256347656
91,1.0230653285980225,1.7203145027160645
92,0.9898556470870972,1.724171757698059
93,0.9673594832420349,1.7335087060928345
94,0.9476345777511597,1.7696847915649414
95,0.9320030212402344,1.78488028049469
96,0.9202236533164978,1.7849864959716797
97,0.9090659022331238,1.7791435718536377
98,0.903705894947052,1.8012336492538452
99,0.8980364799499512,1.8083375692367554
